Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Beans Red Haricot (Wairimu),-,-,-,Soko mpya,77.78/Kg,100.00/Kg,700.00,Nyandarua,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Daraja Mbili,57.78/Kg,8.00/Kg,1600.00,Kisii,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Katito,125.00/Kg,130.43/Kg,2500.00,Kisumu,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,100.00/Kg,120.00/Kg,,Nairobi,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Muhoroni,100.00/Kg,115.00/Kg,500.00,Kisumu,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Aram,83.94/Kg,91.24/Kg,250.00,Siaya,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,88.89/Kg,95.00/Kg,2070.00,Nakuru,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Marigat,80.00/Kg,90.00/Kg,2000.00,Baringo,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Kangari,100.00/Kg,100.00/Kg,,Muranga,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Kutus,100.00/Kg,220.85/Kg,4500.00,Kirinyaga,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Kiritiri,125.00/Kg,150.00/Kg,2200.00,Embu,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,,Nakuru,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Cheptulu,102.50/Kg,125.00/Kg,900.00,Vihiga,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Kagio,90.00/Kg,120.00/Kg,,Kirinyaga,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Diani Market,80.00/Kg,90.00/Kg,600.00,Kwale,2022-07-21
Beans Red Haricot (Wairimu),-,-,-,Ortum,60.00/Kg,72.00/Kg,180.00,West-Pokot,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Homabay Soko Mjinga,110.00/Kg,125.00/Kg,90.00,Homa-bay,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,111.11/Kg,130.00/Kg,,Nairobi,2022-07-20
Beans Red Haricot (Wairimu),-,-,-,Nyeri open air,96.67/Kg,120.00/Kg,2700.00,Nyeri,2022-07-20
