80,Ndegwa Njiru Adv.,"Kenya has contacted a strange deadly PANDEMIC called RUTO,symptoms are, corruption,abductions,extrajudicial killings, high cost of living,collapse of the health care system,collapse of the energy sector, collapse of the food security system,the doctors PRESCRIPTION is #RutoMustGo",Tue Sep 10 04:12:42 +0000 2024,1325,2477
81,Dr. Miguna Miguna,"The price of a power transformer in Kenya today is between $1,000.00 (Ksh. 120,000) to $20,000.00 (Ksh2,400,000) per piece.

The cost of fueling and operating Zakayo @WilliamsRuto’s entourage of 1,000 gas guzzlers, 20 helicopters, hiring crowds, security, accommodation and food",Sat Aug 17 23:09:42 +0000 2024,565,1666
82,Uzalendo News,"Raila Odinga: Giving People Fertilizers alone Will not Reduce The Cost Of Food 
#UzalendoNews | #Kenya https://t.co/4SJYRiHmlL",Fri Sep 15 13:50:17 +0000 2023,1,2
83,Linet Ida,"Kenya’s economy is no longer just surviving—it’s thriving. The low inflation rate of 2.7%, increased food production, and reduced cost of living are proof of sound leadership and strategic planning #RutoMchapaKazi
Kazi Inafanyika https://t.co/pFnpuK8YMI",Mon Nov 18 07:09:37 +0000 2024,3,1
84,Bold Perceptions Podcast,"Kenya cost of living 

About everyday I’m getting a buffet delivered to my place for $15, 🇰🇪 food isn’t that bad, especially the seafood 

My buddy went out with 2 locals, all had a big plate, some non alcohol drink, total for all 3 combined was $1.50",Sun Dec 01 08:39:59 +0000 2024,0,6
85,maureen,"Ruto’s reduction of fertiliser prices to KSh 2,500 directly supports millions of farmers, resulting in a bumper harvest and lower food prices, easing the cost of living across Kenya. #ListeningPresident Delivering The Promise",Mon Nov 25 06:19:04 +0000 2024,0,0
86,Ruto Stan!,"Kenya has improved its food production by reducing farm input costs, directly lowering the cost of living. 

The subsidized fertilizer program has been key to the reduced cost of living being experienced in the country currently. 

System Ya Facts!

#RutoDelivers https://t.co/hJ3eJ7wPQ5",Sun Nov 17 09:37:16 +0000 2024,3,0
87,Son Of Anarchy,"Kenya as it stands, is not working for anybody except all political thieves and the cement businessman who’s importing clinkers at no extra cost. Everyone else is doomed. From health to education to food security. Wake up! You will not OUT EARN bad governance!",Tue Jul 02 04:01:05 +0000 2024,924,825
88,Kenyan Wall Street,"Kenya's Cost of Living Rises in November 📉

November data from the Kenya National Bureau of Statistics (@KNBStats) states the Inflation edged up to 2.8% from 2.7% in October, driven by a 0.6% increase in the Food &amp; Non-Alcoholic Beverages Index.

🔺 Prices surged for:
Sugar: https://t.co/506DseeWRm",Tue Dec 03 08:51:14 +0000 2024,7,6
89,Magara,"President Ruto’s administration has significantly reduced the cost of living. The price of a 2kg pack of flour dropped from Ksh 260 to Ksh 100-120, providing much-needed relief to Kenyan households.#KaziBilaBreak
Ruto Delivers https://t.co/vcLizaU4Fx",Mon Feb 17 08:46:48 +0000 2025,1,1
90,soso❤️,"President Ruto emphasizes the undeniable truth that the cost of basic food commodities in Kenya has come down significantly. This reduction is a tangible benefit for all Kenyans, enhancing their daily lives.
#KenyasSuccessFacts
Delivering The Plan https://t.co/RWxUMXtAw5",Thu Dec 12 11:04:23 +0000 2024,0,0
91,I ❤️ Kenya 🇰🇪,"The price of 2kg of maize flour (unga) has been reduced from Kshs. 230 to Kshs. 97 under Ruto, alleviating the cost of Kenya’s staple food. Promise Made
#RutoDelivers 
Promise Delivered https://t.co/wELD7SJYgr",Wed Sep 04 06:03:22 +0000 2024,0,0
92,Baluc_Mocha,"Kenya’s cost of living has skyrocketed, with rising fuel prices, electricity bills, and food costs leaving many struggling. While the government blames global factors like inflation and the Ukraine war, critics argue that poor planning and corruption play a big role.

The",Wed Dec 11 18:09:44 +0000 2024,1,40
93,JANE KYALO,"One thing about President William Ruto is that he is a go-getter. 

A man who doesnt back down until he gets what he wants. 

This man right here, with our support, is the one person who will deliver Kenya and steer the country to economic stability. 

The cost  of basic food https://t.co/nX4Whor9GF",Mon Mar 11 05:54:10 +0000 2024,5,43
94,Zoey,"The Kenyan government’s prioritization of the Big Four Agenda has brought measurable progress in housing, manufacturing, health care, and food security, transforming lives nationwide. Kenya VS Tanzania, Cost of Living.
 https://t.co/0uSbHXCDH6",Tue Dec 10 11:56:43 +0000 2024,11,0
95,Bianca™,"President William Ruto is giving a giant of East Africa a new lease of life! Na #Tuliwashow The Kenya Kwanza government was the only antidote to the high cost of living! Most of the basic food commodities, including sugar, which was trading at around KES 500 per 2 kg and is now https://t.co/rSCjNHuapz",Wed Apr 17 06:19:17 +0000 2024,21,95
96,Kloppo - The Normal One,"Food production has increased, and the cost of food has gone down. Inflation is under control, and the economy is stable. System Ya Facts: Leading Kenya towards food security and stability. #RutoDelivers https://t.co/pa6ceAujm0",Sun Nov 17 09:31:33 +0000 2024,0,0
